,Period,Day,W0_V_out,W0_V_in,W0_T_set_inj,W0_T_mf_out,W1_V_out,W1_V_in,W1_T_set_inj,W1_T_mf_out
0,0.0,30.0,-25530.0,0.0,12.0,11.999967575073242,0.0,25530.0,5.0,5.026013374328613
1,1.0,60.0,-22110.0,0.0,12.0,11.999964714050293,0.0,22110.0,5.0,5.012626647949219
2,2.0,90.0,-12750.0,0.0,12.0,11.999971389770508,0.0,12750.0,5.0,5.017405986785889
3,3.0,120.0,-0.0,0.0,12.0,11.999974250793457,0.0,0.0,5.0,5.12914514541626
4,4.0,150.0,0.0,12750.0,12.0,11.999999046325684,-12750.0,0.0,5.0,5.919291019439697
5,5.0,180.0,0.0,22110.0,12.0,11.999999046325684,-22110.0,0.0,5.0,7.767582893371582
6,6.0,210.0,0.0,25530.0,12.0,11.999998092651367,-25530.0,0.0,5.0,9.51480484008789
7,7.0,240.0,0.0,22110.0,12.0,11.999999046325684,-22110.0,0.0,5.0,10.484123229980469
8,8.0,270.0,0.0,12750.0,12.0,11.999999046325684,-12750.0,0.0,5.0,10.862421989440918
9,9.0,300.0,0.0,0.0,12.0,11.999999046325684,-0.0,0.0,5.0,10.85614013671875
10,10.0,330.0,-12750.0,0.0,12.0,11.999970436096191,0.0,12750.0,5.0,5.097121715545654
11,11.0,360.0,-22110.0,0.0,12.0,11.999953269958496,0.0,22110.0,5.0,5.013948917388916
12,12.0,390.0,-25530.0,0.0,12.0,11.999942779541016,0.0,25530.0,5.0,5.007958889007568
13,13.0,420.0,-22110.0,0.0,12.0,11.999944686889648,0.0,22110.0,5.0,5.007918357849121
14,14.0,450.0,-12750.0,0.0,12.0,11.99995231628418,0.0,12750.0,5.0,5.0122551918029785
15,15.0,480.0,-0.0,0.0,12.0,11.99995231628418,0.0,0.0,5.0,5.093891143798828
16,16.0,510.0,0.0,12750.0,12.0,11.999999046325684,-12750.0,0.0,5.0,5.461369514465332
17,17.0,540.0,0.0,22110.0,12.0,11.999999046325684,-22110.0,0.0,5.0,6.37048864364624
18,18.0,570.0,0.0,25530.0,12.0,11.999998092651367,-25530.0,0.0,5.0,7.684867858886719
19,19.0,600.0,0.0,22110.0,12.0,11.999999046325684,-22110.0,0.0,5.0,8.739591598510742
20,20.0,630.0,0.0,12750.0,12.0,11.999999046325684,-12750.0,0.0,5.0,9.264404296875
21,21.0,660.0,0.0,0.0,12.0,11.999999046325684,-0.0,0.0,5.0,9.268345832824707
22,22.0,690.0,-12750.0,0.0,12.0,11.999969482421875,0.0,12750.0,5.0,5.07293176651001
23,23.0,720.0,-22110.0,0.0,12.0,11.99994945526123,0.0,22110.0,5.0,5.011273384094238
